jeudi 12 décembre 2024	17:05:14	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
233	829,000000E+0	1,455000E+3	0,000000E+0	0,000000E+0
234	829,000000E+0	1,456000E+3	0,000000E+0	0,000000E+0
235	829,000000E+0	1,456000E+3	0,000000E+0	0,000000E+0
236	828,000000E+0	1,456000E+3	0,000000E+0	0,000000E+0
237	828,000000E+0	1,456000E+3	0,000000E+0	0,000000E+0
238	828,000000E+0	1,457000E+3	0,000000E+0	0,000000E+0
239	828,000000E+0	1,457000E+3	0,000000E+0	0,000000E+0
240	828,000000E+0	1,458000E+3	0,000000E+0	0,000000E+0
241	828,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
242	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
243	828,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
244	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
245	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
246	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
247	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
248	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
249	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
250	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
251	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
252	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
253	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
254	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
255	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
256	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
257	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
258	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
259	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
260	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
261	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
262	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
263	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
264	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
265	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
266	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
267	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
268	827,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
269	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
270	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
271	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
272	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
273	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
274	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
275	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
276	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
277	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
278	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
279	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
280	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
281	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
282	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
283	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
284	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
285	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
286	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
287	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
288	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
289	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
290	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
291	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
292	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
293	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
294	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
295	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
296	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
297	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
298	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
299	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
300	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
301	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
302	826,000000E+0	1,459000E+3	0,000000E+0	0,000000E+0
303	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
304	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
305	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
306	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
307	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
308	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
309	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
310	826,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
311	827,000000E+0	1,460000E+3	0,000000E+0	0,000000E+0
