vendredi 13 décembre 2024	11:04:04	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
352	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
353	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
354	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
355	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
356	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
357	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
358	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
359	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
360	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
361	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
362	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
363	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
364	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
365	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
366	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
367	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
368	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
369	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
370	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
371	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
372	65,527000E+3	15,000000E+0	19,000000E+0	65,523000E+3
373	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
374	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
375	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
376	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
377	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
378	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
379	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
380	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
381	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
382	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
383	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
384	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
385	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
386	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
387	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
388	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
389	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
390	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
391	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
392	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
393	65,527000E+3	15,000000E+0	19,000000E+0	65,522000E+3
394	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
395	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
