jeudi 12 décembre 2024	17:09:28	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
201	1,205000E+3	614,000000E+0	0,000000E+0	0,000000E+0
202	1,205000E+3	613,000000E+0	0,000000E+0	0,000000E+0
203	1,206000E+3	612,000000E+0	0,000000E+0	0,000000E+0
204	1,206000E+3	611,000000E+0	0,000000E+0	0,000000E+0
205	1,206000E+3	611,000000E+0	0,000000E+0	0,000000E+0
206	1,207000E+3	610,000000E+0	0,000000E+0	0,000000E+0
207	1,208000E+3	609,000000E+0	0,000000E+0	0,000000E+0
208	1,208000E+3	607,000000E+0	0,000000E+0	0,000000E+0
209	1,209000E+3	606,000000E+0	0,000000E+0	0,000000E+0
210	1,209000E+3	605,000000E+0	0,000000E+0	0,000000E+0
211	1,209000E+3	605,000000E+0	0,000000E+0	0,000000E+0
212	1,210000E+3	604,000000E+0	0,000000E+0	0,000000E+0
213	1,210000E+3	603,000000E+0	0,000000E+0	0,000000E+0
214	1,210000E+3	602,000000E+0	0,000000E+0	0,000000E+0
215	1,210000E+3	602,000000E+0	0,000000E+0	0,000000E+0
216	1,210000E+3	600,000000E+0	0,000000E+0	0,000000E+0
217	1,211000E+3	599,000000E+0	0,000000E+0	0,000000E+0
218	1,212000E+3	599,000000E+0	0,000000E+0	0,000000E+0
219	1,212000E+3	598,000000E+0	0,000000E+0	0,000000E+0
220	1,212000E+3	598,000000E+0	0,000000E+0	0,000000E+0
221	1,212000E+3	597,000000E+0	0,000000E+0	0,000000E+0
222	1,213000E+3	596,000000E+0	0,000000E+0	0,000000E+0
223	1,213000E+3	596,000000E+0	0,000000E+0	0,000000E+0
224	1,214000E+3	596,000000E+0	0,000000E+0	0,000000E+0
225	1,214000E+3	595,000000E+0	0,000000E+0	0,000000E+0
226	1,214000E+3	595,000000E+0	0,000000E+0	0,000000E+0
227	1,214000E+3	594,000000E+0	0,000000E+0	0,000000E+0
228	1,215000E+3	593,000000E+0	0,000000E+0	0,000000E+0
229	1,215000E+3	593,000000E+0	0,000000E+0	0,000000E+0
230	1,215000E+3	593,000000E+0	0,000000E+0	0,000000E+0
231	1,215000E+3	592,000000E+0	0,000000E+0	0,000000E+0
232	1,216000E+3	591,000000E+0	0,000000E+0	0,000000E+0
233	1,216000E+3	591,000000E+0	0,000000E+0	0,000000E+0
234	1,216000E+3	591,000000E+0	0,000000E+0	0,000000E+0
235	1,216000E+3	590,000000E+0	0,000000E+0	0,000000E+0
236	1,216000E+3	590,000000E+0	0,000000E+0	0,000000E+0
237	1,216000E+3	589,000000E+0	0,000000E+0	0,000000E+0
238	1,217000E+3	589,000000E+0	0,000000E+0	0,000000E+0
239	1,217000E+3	588,000000E+0	0,000000E+0	0,000000E+0
240	1,217000E+3	588,000000E+0	0,000000E+0	0,000000E+0
241	1,217000E+3	588,000000E+0	0,000000E+0	0,000000E+0
242	1,217000E+3	588,000000E+0	0,000000E+0	0,000000E+0
243	1,217000E+3	587,000000E+0	0,000000E+0	0,000000E+0
244	1,217000E+3	587,000000E+0	0,000000E+0	0,000000E+0
245	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
246	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
247	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
248	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
249	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
250	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
251	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
252	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
253	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
254	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
255	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
256	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
257	1,218000E+3	586,000000E+0	0,000000E+0	0,000000E+0
258	1,217000E+3	586,000000E+0	0,000000E+0	0,000000E+0
